DATE,CPI_all_items,Rent_of_Primary_residence,Monthly_Housing_Cost,CPI_Energy,US_Dollar_Purchasing_power
1997-01-01,159.4,158.4,155.4,113.8,62.8
1997-02-01,159.7,158.7,155.6,114.7,62.6
1997-03-01,159.8,158.5,155.5,117.4,62.5
1997-04-01,159.9,158.8,155.2,120.2,62.4
1997-05-01,159.9,159.1,156.1,121.2,62.5
1997-06-01,160.2,159.3,156.4,120.6,62.4
1997-07-01,160.4,159.5,156.9,119.7,62.3
1997-08-01,160.8,159.7,156.7,122.7,62.2
1997-09-01,161.2,160.4,157.1,126.6,62.0
1997-10-01,161.5,160.6,157.9,125.8,61.9
1997-11-01,161.7,160.9,157.7,124.1,61.9
1997-12-01,161.8,161.3,158.8,122.1,62.0
1998-01-01,162.0,161.6,158.4,115.8,61.9
1998-02-01,162.0,161.8,158.7,106.7,61.8
1998-03-01,162.0,162.3,159.2,103.1,61.7
1998-04-01,162.2,162.8,159.4,106.6,61.5
1998-05-01,162.6,163.0,159.6,111.5,61.4
1998-06-01,162.8,163.6,159.6,110.0,61.4
1998-07-01,163.2,164.1,159.9,108.2,61.3
1998-08-01,163.4,164.4,160.7,108.0,61.2
1998-09-01,163.5,165.2,161.3,108.1,61.1
1998-10-01,163.9,165.6,161.2,107.2,61.0
1998-11-01,164.1,166.1,161.4,106.9,61.0
1998-12-01,164.4,167.1,161.8,108.0,61.0
1999-01-01,164.7,167.5,162.3,106.9,60.8
1999-02-01,164.7,167.9,162.6,106.3,60.8
1999-03-01,164.8,168.1,162.9,107.9,60.6
1999-04-01,165.9,168.5,163.4,122.5,60.2
1999-05-01,166.0,168.8,163.4,120.5,60.2
1999-06-01,166.0,169.6,164.0,115.0,60.2
1999-07-01,166.7,170.2,165.0,116.7,60.0
1999-08-01,167.1,170.6,165.2,121.2,59.8
1999-09-01,167.8,171.3,166.4,119.6,59.6
1999-10-01,168.1,171.6,166.3,116.7,59.4
1999-11-01,168.4,172.4,166.2,115.2,59.4
1999-12-01,168.8,172.8,166.0,116.1,59.4
2000-01-01,169.3,173.5,167.4,114.9,59.2
2000-02-01,170.0,174.0,168.5,118.4,58.9
2000-03-01,171.0,174.4,169.1,131.9,58.4
2000-04-01,170.9,175.1,169.1,133.3,58.4
2000-05-01,171.2,175.7,169.3,131.2,58.3
2000-06-01,172.2,176.3,170.1,131.3,58.0
2000-07-01,172.7,177.0,171.1,135.3,57.9
2000-08-01,172.7,177.7,171.9,130.5,57.9
2000-09-01,173.6,178.2,172.7,141.0,57.6
2000-10-01,173.9,179.1,173.2,141.9,57.5
2000-11-01,174.2,179.8,173.3,137.9,57.4
2000-12-01,174.6,180.7,173.6,136.0,57.5
2001-01-01,175.6,181.5,175.1,135.6,57.1
2001-02-01,176.0,181.9,175.4,138.6,56.9
2001-03-01,176.1,182.4,176.3,142.4,56.7
2001-04-01,176.4,183.3,176.7,146.3,56.5
2001-05-01,177.3,184.6,177.9,157.5,56.3
2001-06-01,177.7,185.9,181.1,166.9,56.2
2001-07-01,177.4,186.6,180.7,153.8,56.3
2001-08-01,177.4,188.0,182.1,144.6,56.3
2001-09-01,178.1,189.5,182.0,144.3,56.1
2001-10-01,177.6,190.2,181.6,136.4,56.3
2001-11-01,177.5,191.0,182.4,130.0,56.4
2001-12-01,177.4,191.9,182.5,122.1,56.6
2002-01-01,177.7,193.2,184.3,128.1,56.5
2002-02-01,178.0,194.0,185.4,132.6,56.2
2002-03-01,178.5,194.5,185.7,142.3,55.9
2002-04-01,179.3,195.2,187.3,150.0,55.6
2002-05-01,179.5,196.0,187.7,149.3,55.6
2002-06-01,179.6,196.8,187.5,148.3,55.6
2002-07-01,180.0,197.4,188.5,150.1,55.5
2002-08-01,180.5,197.5,189.5,150.1,55.4
2002-09-01,180.8,198.4,189.4,149.7,55.3
2002-10-01,181.2,199.4,190.6,147.6,55.2
2002-11-01,181.5,200.3,190.4,150.5,55.2
2002-12-01,181.8,201.1,190.3,147.1,55.3
2003-01-01,182.6,202.4,193.1,152.6,55.0
2003-02-01,183.6,203.1,193.0,164.2,54.6
2003-03-01,183.9,204.0,194.1,182.1,54.3
2003-04-01,183.2,205.1,193.1,174.9,54.4
2003-05-01,182.9,206.0,192.5,165.1,54.5
2003-06-01,183.1,206.4,192.4,157.6,54.4
2003-07-01,183.7,207.2,193.0,155.5,54.4
2003-08-01,184.5,208.9,191.8,155.7,54.2
2003-09-01,185.1,210.0,192.8,165.3,54.0
2003-10-01,184.9,210.9,194.0,156.4,54.0
2003-11-01,185.0,211.8,193.5,148.3,54.2
2003-12-01,185.5,212.7,194.5,146.8,54.3
2004-01-01,186.3,213.9,195.9,152.0,54.0
2004-02-01,186.7,214.8,197.0,161.4,53.7
2004-03-01,187.1,215.6,198.0,172.2,53.4
2004-04-01,187.4,216.7,198.3,173.5,53.2
2004-05-01,188.2,218.4,200.0,182.7,52.9
2004-06-01,188.9,220.3,200.4,184.9,52.7
2004-07-01,189.1,221.2,201.0,177.4,52.8
2004-08-01,189.2,223.2,201.7,171.7,52.8
2004-09-01,189.8,224.5,202.7,170.0,52.7
2004-10-01,190.8,225.5,204.0,185.4,52.4
2004-11-01,191.7,226.4,205.2,188.2,52.4
